"Environmental Science (Self-paced)",""
"Computer Apps for Managers (Instructor-led)",""
"Computer Science: An Overview","Glenn Brookshear, Dennis Brylow"
"Balanced Introduction to Computer Science, A","David Reed"
"Computer Science: An Interdisciplinary Approach","Robert Sedgewick, Kevin Wayne"
"Concrete Mathematics: A Foundation for Computer Science","Ronald L. Graham, Donald E. Knuth, Oren Patashnik"
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud","Paul Deitel, Harvey Deitel"
"Computer Networking","James Kurose, Keith Ross"
"Computer Networks","Andrew S. Tanenbaum, Nick Feamster, David J. Wetherall"
"Computer Networks","Andrew S. Tanenbaum, David J. Wetherall"
"Title","Author"
